store_id,dish_id,display_order,is_available
1,1,1,true
1,2,2,true
1,3,3,true
1,4,4,true
1,5,5,true
1,6,6,true
2,1,1,true
2,2,2,true
2,3,3,false
2,4,4,false
2,5,5,false
2,6,6,true
3,1,1,true
3,3,2,true
3,4,3,true
3,5,4,false
3,6,5,true
4,1,1,true
4,2,2,false
4,3,3,true
4,4,4,true
4,5,5,false
4,6,6,true
5,1,1,true
5,2,2,false
5,3,3,false
5,4,4,true
5,5,5,false
5,6,6,true
6,1,1,true
6,2,2,true
6,3,3,true
6,4,4,true
6,5,5,true
6,6,6,true
7,1,1,true
7,2,2,true
7,3,3,true
7,4,4,true
7,5,5,true
7,6,6,true
8,1,1,true
8,2,2,true
8,3,3,true
8,4,4,true
8,5,5,true
8,6,6,true
9,1,1,true
9,2,2,true
9,3,3,true
9,4,4,true
9,5,5,true
9,6,6,true
10,1,1,true
10,2,2,true
10,3,3,true
10,4,4,true
10,5,5,true
10,6,6,true
11,1,1,true
11,2,2,true
11,3,3,true
11,4,4,true
11,5,5,true
11,6,6,true
12,1,1,true
12,2,2,true
12,3,3,true
12,4,4,true
12,5,5,true
12,6,6,true
13,1,1,true
13,2,2,true
13,3,3,true
13,4,4,true
13,5,5,true
13,6,6,true
14,1,1,true
14,2,2,true
14,3,3,true
14,4,4,true
14,5,5,true
14,6,6,true
15,1,1,true
15,2,2,true
15,3,3,true
15,4,4,true
15,6,5,true
16,1,1,true
16,2,2,true
16,3,3,true
16,4,4,true
16,5,5,true
16,6,6,true
17,1,1,true
17,2,2,true
17,3,3,true
17,4,4,true
17,5,5,true
17,6,6,true
18,1,1,true
18,2,2,true
18,3,3,true
18,4,4,true
18,5,5,true
18,6,6,true
19,1,1,true
19,2,2,true
19,3,3,true
19,4,4,true
19,5,5,true
19,6,6,true
20,1,1,true
20,3,2,true
20,4,3,true
20,5,4,true
21,1,1,true
21,2,2,true
21,3,3,true
21,4,4,true
21,5,5,true
21,6,6,true
22,1,1,true
22,2,2,true
22,3,3,true
22,4,4,true
22,5,5,true
22,6,6,true
23,1,1,true
23,2,2,true
23,3,3,true
23,4,4,true
23,5,5,true
23,6,6,true
24,1,1,true
24,2,2,true
24,3,3,true
24,4,4,true
24,5,5,true
24,6,6,true
25,1,1,true
25,3,2,true
25,4,3,true
26,1,1,true
26,2,2,true
26,3,3,true
26,4,4,true
26,5,5,true
26,6,6,true
27,1,1,true
27,2,2,true
27,3,3,true
27,4,4,true
27,5,5,true
27,6,6,true
28,1,1,true
28,2,2,true
28,3,3,true
28,4,4,true
28,5,5,true
28,6,6,true
29,1,1,true
29,2,2,true
29,3,3,true
29,4,4,true
29,5,5,true
29,6,6,true
30,1,1,true
30,2,2,true
30,3,3,true
30,4,4,true
30,5,5,true
30,6,6,true
31,1,1,true
31,2,2,true
31,3,3,true
31,4,4,true
31,5,5,true
31,6,6,true
32,1,1,true
32,2,2,true
32,3,3,true
32,4,4,true
32,5,5,true
32,6,6,true
33,1,1,true
33,2,2,true
33,3,3,true
33,4,4,true
33,5,5,true
33,6,6,true
34,1,1,true
34,2,2,true
34,3,3,true
34,4,4,true
34,5,5,true
34,6,6,true
36,1,1,true
36,2,2,true
36,3,3,true
36,4,4,true
36,5,5,true
36,6,6,true
37,1,1,true
37,2,2,true
37,3,3,true
37,4,4,true
37,5,5,true
37,6,6,true
38,1,1,true
38,2,2,true
38,3,3,true
38,4,4,true
38,5,5,true
38,6,6,true
39,1,1,true
39,2,2,true
39,3,3,true
39,4,4,true
39,5,5,true
39,6,6,true
40,1,1,true
40,2,2,true
40,3,3,true
40,4,4,true
40,5,5,true
40,6,6,true
